time,latitude,longitude,Uwind,Vwind
UTC,degrees_north,degrees_east,meter second-1,meter second-1
2025-01-07T10:00:00Z,18.68,-156.31,-2.0624428,3.781818
2025-01-07T10:00:00Z,18.68,-156.25,-1.9822282,3.7650328
2025-01-07T10:00:00Z,18.68,-156.19,-1.9221262,3.7138758
2025-01-07T10:00:00Z,18.68,-156.13,-1.9459242,3.6094983
2025-01-07T10:00:00Z,18.68,-156.07,-2.0188906,3.4701278
2025-01-07T10:00:00Z,18.68,-156.01,-2.1062274,3.3133733
2025-01-07T10:00:00Z,18.68,-155.95,-2.1990566,3.120684
2025-01-07T10:00:00Z,18.68,-155.89,-2.2531981,2.909191
2025-01-07T10:00:00Z,18.68,-155.83,-2.2434657,2.7220964
2025-01-07T10:00:00Z,18.68,-155.77,-2.2044778,2.612893
2025-01-07T10:00:00Z,18.68,-155.71,-2.2011695,2.592807
2025-01-07T10:00:00Z,18.68,-155.65,-2.2363071,2.6151533
2025-01-07T10:00:00Z,18.68,-155.59,-2.2640603,2.618247
2025-01-07T10:00:00Z,18.68,-155.53,-2.270007,2.5618522
2025-01-07T10:00:00Z,18.68,-155.47,-2.2321408,2.4482484
2025-01-07T10:00:00Z,18.68,-155.41,-2.1289597,2.3311377
2025-01-07T10:00:00Z,18.68,-155.35,-1.9848241,2.2694387
2025-01-07T10:00:00Z,18.68,-155.29,-1.8240274,2.2789135
2025-01-07T10:00:00Z,18.68,-155.23,-1.6642224,2.3546443
2025-01-07T10:00:00Z,18.68,-155.17,-1.5539516,2.4954634
2025-01-07T10:00:00Z,18.68,-155.11,-1.5323861,2.6962864
2025-01-07T10:00:00Z,18.68,-155.05,-1.5821725,2.9183006
2025-01-07T10:00:00Z,18.68,-154.99,-1.6394242,3.1249902
2025-01-07T10:00:00Z,18.68,-154.93,-1.6684437,3.253767
2025-01-07T10:00:00Z,18.68,-154.87,-1.6992558,3.3080387
2025-01-07T10:00:00Z,18.68,-154.81,-1.7407521,3.3031273
2025-01-07T10:00:00Z,18.68,-154.75,-1.7803297,3.2543998
2025-01-07T10:00:00Z,18.68,-154.69,-1.8256264,3.1791914
2025-01-07T10:00:00Z,18.68,-154.63,-1.8982184,3.1014848
2025-01-07T10:00:00Z,18.68,-154.57,-1.9781562,3.0322652
2025-01-07T10:00:00Z,18.68,-154.51,-2.0386677,2.9747875
2025-01-07T10:00:00Z,18.735,-156.31,-1.9310238,3.8354056
2025-01-07T10:00:00Z,18.735,-156.25,-1.9334012,3.7575486
2025-01-07T10:00:00Z,18.735,-156.19,-1.9646592,3.6730893
2025-01-07T10:00:00Z,18.735,-156.13,-2.042277,3.5587885
2025-01-07T10:00:00Z,18.735,-156.07,-2.1332085,3.4205778
2025-01-07T10:00:00Z,18.735,-156.01,-2.2240431,3.2614992
2025-01-07T10:00:00Z,18.735,-155.95,-2.3122144,3.0409126
2025-01-07T10:00:00Z,18.735,-155.89,-2.3611536,2.7890537
2025-01-07T10:00:00Z,18.735,-155.83,-2.3511558,2.5569134
2025-01-07T10:00:00Z,18.735,-155.77,-2.310044,2.3951273
2025-01-07T10:00:00Z,18.735,-155.71,-2.27746,2.3289237
2025-01-07T10:00:00Z,18.735,-155.65,-2.256555,2.3428934
2025-01-07T10:00:00Z,18.735,-155.59,-2.2348306,2.3804426
2025-01-07T10:00:00Z,18.735,-155.53,-2.2100303,2.3775387
2025-01-07T10:00:00Z,18.735,-155.47,-2.1552572,2.314225
2025-01-07T10:00:00Z,18.735,-155.41,-2.043813,2.2189503
2025-01-07T10:00:00Z,18.735,-155.35,-1.9082019,2.1548867
2025-01-07T10:00:00Z,18.735,-155.29,-1.7746418,2.171289
2025-01-07T10:00:00Z,18.735,-155.23,-1.6298028,2.2510536
2025-01-07T10:00:00Z,18.735,-155.17,-1.4934261,2.3683467
2025-01-07T10:00:00Z,18.735,-155.11,-1.420969,2.5067418
2025-01-07T10:00:00Z,18.735,-155.05,-1.4414386,2.6534805
2025-01-07T10:00:00Z,18.735,-154.99,-1.5096298,2.8224165
2025-01-07T10:00:00Z,18.735,-154.93,-1.5602329,2.985671
2025-01-07T10:00:00Z,18.735,-154.87,-1.5967392,3.1112564
2025-01-07T10:00:00Z,18.735,-154.81,-1.6448318,3.1949534
2025-01-07T10:00:00Z,18.735,-154.75,-1.7015315,3.2286777
2025-01-07T10:00:00Z,18.735,-154.69,-1.749748,3.2080414
2025-01-07T10:00:00Z,18.735,-154.63,-1.8036401,3.1488502
2025-01-07T10:00:00Z,18.735,-154.57,-1.8734355,3.0796385
2025-01-07T10:00:00Z,18.735,-154.51,-1.9451556,3.0213408
2025-01-07T10:00:00Z,18.79,-156.31,-1.925164,3.9308925
2025-01-07T10:00:00Z,18.79,-156.25,-1.9775118,3.7938607
2025-01-07T10:00:00Z,18.79,-156.19,-2.0443017,3.6782568
2025-01-07T10:00:00Z,18.79,-156.13,-2.1376052,3.5489326
2025-01-07T10:00:00Z,18.79,-156.07,-2.250398,3.3947551
2025-01-07T10:00:00Z,18.79,-156.01,-2.3509653,3.2180564
2025-01-07T10:00:00Z,18.79,-155.95,-2.4543476,2.9686406
2025-01-07T10:00:00Z,18.79,-155.89,-2.522198,2.6880999
2025-01-07T10:00:00Z,18.79,-155.83,-2.5286355,2.406721
2025-01-07T10:00:00Z,18.79,-155.77,-2.4711616,2.163609
2025-01-07T10:00:00Z,18.79,-155.71,-2.3644774,2.0033455
2025-01-07T10:00:00Z,18.79,-155.65,-2.2405837,1.9629073
2025-01-07T10:00:00Z,18.79,-155.59,-2.1411362,2.0246992
2025-01-07T10:00:00Z,18.79,-155.53,-2.0776737,2.0984113
2025-01-07T10:00:00Z,18.79,-155.47,-2.0109491,2.1176393
2025-01-07T10:00:00Z,18.79,-155.41,-1.9132141,2.0736222
2025-01-07T10:00:00Z,18.79,-155.35,-1.7893597,2.025954
2025-01-07T10:00:00Z,18.79,-155.29,-1.6739409,2.0455406
2025-01-07T10:00:00Z,18.79,-155.23,-1.5639148,2.14432
2025-01-07T10:00:00Z,18.79,-155.17,-1.4409664,2.2801397
2025-01-07T10:00:00Z,18.79,-155.11,-1.3400773,2.4101377
2025-01-07T10:00:00Z,18.79,-155.05,-1.3099731,2.5267887
2025-01-07T10:00:00Z,18.79,-154.99,-1.3557209,2.6374252
2025-01-07T10:00:00Z,18.79,-154.93,-1.4328995,2.7618487
2025-01-07T10:00:00Z,18.79,-154.87,-1.4904542,2.9023974
2025-01-07T10:00:00Z,18.79,-154.81,-1.5482843,3.0270555
2025-01-07T10:00:00Z,18.79,-154.75,-1.619899,3.1296532
