time,latitude,longitude,Uwind,Vwind
UTC,degrees_north,degrees_east,meter second-1,meter second-1
2025-09-02T10:00:00Z,18.68,-156.19,-9.281315,0.5794377
2025-09-02T10:00:00Z,18.68,-156.13,-9.269487,0.2428387
2025-09-02T10:00:00Z,18.68,-156.07,-9.379343,-0.062370244
2025-09-02T10:00:00Z,18.68,-156.01,-9.61431,-0.4012016
2025-09-02T10:00:00Z,18.68,-155.95,-9.807389,-0.7438092
2025-09-02T10:00:00Z,18.68,-155.89,-9.824157,-1.0224394
2025-09-02T10:00:00Z,18.68,-155.83,-9.62518,-1.243218
2025-09-02T10:00:00Z,18.68,-155.77,-9.221579,-1.4688623
2025-09-02T10:00:00Z,18.68,-155.71,-8.752818,-1.6934363
2025-09-02T10:00:00Z,18.68,-155.65,-8.325068,-1.8792534
2025-09-02T10:00:00Z,18.68,-155.59,-8.000723,-2.0019422
2025-09-02T10:00:00Z,18.68,-155.53,-7.768904,-2.0599303
2025-09-02T10:00:00Z,18.68,-155.47,-7.567679,-2.0756073
2025-09-02T10:00:00Z,18.68,-155.41,-7.37668,-2.128872
2025-09-02T10:00:00Z,18.68,-155.35,-7.169982,-2.3005
2025-09-02T10:00:00Z,18.68,-155.29,-6.9177165,-2.5359726
2025-09-02T10:00:00Z,18.68,-155.23,-6.671821,-2.706945
2025-09-02T10:00:00Z,18.68,-155.17,-6.5001054,-2.7386205
2025-09-02T10:00:00Z,18.68,-155.11,-6.37679,-2.7485254
2025-09-02T10:00:00Z,18.68,-155.05,-6.294871,-2.816983
2025-09-02T10:00:00Z,18.68,-154.99,-6.2782817,-2.83759
2025-09-02T10:00:00Z,18.68,-154.93,-6.31754,-2.6679718
2025-09-02T10:00:00Z,18.68,-154.87,-6.2739,-2.5490975
2025-09-02T10:00:00Z,18.68,-154.81,-6.078768,-2.7769775
2025-09-02T10:00:00Z,18.68,-154.75,-5.990166,-2.940445
2025-09-02T10:00:00Z,18.68,-154.69,-6.1650133,-2.6509955
2025-09-02T10:00:00Z,18.68,-154.63,-6.272785,-2.2800705
2025-09-02T10:00:00Z,18.735,-156.19,-9.426844,0.8302489
2025-09-02T10:00:00Z,18.735,-156.13,-9.4320135,0.4684971
2025-09-02T10:00:00Z,18.735,-156.07,-9.593285,0.10844105
2025-09-02T10:00:00Z,18.735,-156.01,-9.868627,-0.26804137
2025-09-02T10:00:00Z,18.735,-155.95,-10.041834,-0.62910575
2025-09-02T10:00:00Z,18.735,-155.89,-10.002058,-0.919892
2025-09-02T10:00:00Z,18.735,-155.83,-9.781835,-1.1493812
2025-09-02T10:00:00Z,18.735,-155.77,-9.419859,-1.391993
2025-09-02T10:00:00Z,18.735,-155.71,-8.99945,-1.6792318
2025-09-02T10:00:00Z,18.735,-155.65,-8.569236,-1.9894598
2025-09-02T10:00:00Z,18.735,-155.59,-8.158454,-2.2669353
2025-09-02T10:00:00Z,18.735,-155.53,-7.773932,-2.4358742
2025-09-02T10:00:00Z,18.735,-155.47,-7.458488,-2.4510167
2025-09-02T10:00:00Z,18.735,-155.41,-7.2726827,-2.3819547
2025-09-02T10:00:00Z,18.735,-155.35,-7.1496525,-2.3531358
2025-09-02T10:00:00Z,18.735,-155.29,-6.953217,-2.4130213
2025-09-02T10:00:00Z,18.735,-155.23,-6.698127,-2.5248501
2025-09-02T10:00:00Z,18.735,-155.17,-6.499281,-2.6290333
2025-09-02T10:00:00Z,18.735,-155.11,-6.3951535,-2.7290602
2025-09-02T10:00:00Z,18.735,-155.05,-6.3232794,-2.8762846
2025-09-02T10:00:00Z,18.735,-154.99,-6.271719,-3.0285928
2025-09-02T10:00:00Z,18.735,-154.93,-6.2775455,-3.0695226
2025-09-02T10:00:00Z,18.735,-154.87,-6.3347516,-3.0438838
2025-09-02T10:00:00Z,18.735,-154.81,-6.2489614,-3.096968
2025-09-02T10:00:00Z,18.735,-154.75,-5.998096,-3.2620137
2025-09-02T10:00:00Z,18.735,-154.69,-5.9351363,-3.2219076
2025-09-02T10:00:00Z,18.735,-154.63,-6.0611296,-2.8164897
2025-09-02T10:00:00Z,18.79,-156.19,-9.632223,1.0091875
2025-09-02T10:00:00Z,18.79,-156.13,-9.646959,0.6159731
2025-09-02T10:00:00Z,18.79,-156.07,-9.841934,0.21063355
2025-09-02T10:00:00Z,18.79,-156.01,-10.133548,-0.17719482
2025-09-02T10:00:00Z,18.79,-155.95,-10.277577,-0.5883037
2025-09-02T10:00:00Z,18.79,-155.89,-10.197347,-0.9685461
2025-09-02T10:00:00Z,18.79,-155.83,-9.932741,-1.303156
2025-09-02T10:00:00Z,18.79,-155.77,-9.590676,-1.6024581
2025-09-02T10:00:00Z,18.79,-155.71,-9.214374,-1.880805
2025-09-02T10:00:00Z,18.79,-155.65,-8.805937,-2.1326373
2025-09-02T10:00:00Z,18.79,-155.59,-8.366179,-2.3672197
2025-09-02T10:00:00Z,18.79,-155.53,-7.8898067,-2.5901444
2025-09-02T10:00:00Z,18.79,-155.47,-7.439747,-2.7403026
2025-09-02T10:00:00Z,18.79,-155.41,-7.1450877,-2.7683284
2025-09-02T10:00:00Z,18.79,-155.35,-7.020765,-2.694696
2025-09-02T10:00:00Z,18.79,-155.29,-6.9184184,-2.6293736
2025-09-02T10:00:00Z,18.79,-155.23,-6.742803,-2.660901
2025-09-02T10:00:00Z,18.79,-155.17,-6.5474763,-2.7543943
2025-09-02T10:00:00Z,18.79,-155.11,-6.4205623,-2.8459072
2025-09-02T10:00:00Z,18.79,-155.05,-6.331612,-2.929555
2025-09-02T10:00:00Z,18.79,-154.99,-6.233406,-2.984352
2025-09-02T10:00:00Z,18.79,-154.93,-6.155063,-2.978458
2025-09-02T10:00:00Z,18.79,-154.87,-6.1694736,-2.8334002
2025-09-02T10:00:00Z,18.79,-154.81,-6.192562,-2.7607763
2025-09-02T10:00:00Z,18.79,-154.75,-6.121092,-2.9786668
2025-09-02T10:00:00Z,18.79,-154.69,-5.9961605,-3.2825887
2025-09-02T10:00:00Z,18.79,-154.63,-5.878624,-3.2273138
2025-09-02T10:00:00Z,18.845,-156.19,-9.920476,1.4584306
2025-09-02T10:00:00Z,18.845,-156.13,-9.940199,1.0014063
2025-09-02T10:00:00Z,18.845,-156.07,-10.138092,0.4959042
2025-09-02T10:00:00Z,18.845,-156.01,-10.441147,0.030798461
2025-09-02T10:00:00Z,18.845,-155.95,-10.578917,-0.52077526
2025-09-02T10:00:00Z,18.845,-155.89,-10.452405,-1.0856817
2025-09-02T10:00:00Z,18.845,-155.83,-10.0931835,-1.6397176
2025-09-02T10:00:00Z,18.845,-155.77,-9.652187,-2.1073163
2025-09-02T10:00:00Z,18.845,-155.71,-9.215733,-2.4572349
2025-09-02T10:00:00Z,18.845,-155.65,-8.806774,-2.6665485
2025-09-02T10:00:00Z,18.845,-155.59,-8.392514,-2.6923745
2025-09-02T10:00:00Z,18.845,-155.53,-7.947557,-2.6925704
2025-09-02T10:00:00Z,18.845,-155.47,-7.4944453,-2.795818
2025-09-02T10:00:00Z,18.845,-155.41,-7.1263843,-2.9012296
2025-09-02T10:00:00Z,18.845,-155.35,-6.930482,-2.9552288
2025-09-02T10:00:00Z,18.845,-155.29,-6.862034,-2.9451156
2025-09-02T10:00:00Z,18.845,-155.23,-6.7713118,-2.9496279
2025-09-02T10:00:00Z,18.845,-155.17,-6.594264,-3.0110404
2025-09-02T10:00:00Z,18.845,-155.11,-6.394388,-3.085392
2025-09-02T10:00:00Z,18.845,-155.05,-6.238812,-3.1042564
2025-09-02T10:00:00Z,18.845,-154.99,-6.0759087,-3.083809
2025-09-02T10:00:00Z,18.845,-154.93,-5.9577646,-3.036688
2025-09-02T10:00:00Z,18.845,-154.87,-5.9469104,-2.940692
2025-09-02T10:00:00Z,18.845,-154.81,-6.0954666,-2.784637
2025-09-02T10:00:00Z,18.845,-154.75,-6.209428,-2.7322574
2025-09-02T10:00:00Z,18.845,-154.69,-6.0993505,-2.8421013
2025-09-02T10:00:00Z,18.845,-154.63,-5.779809,-2.966279
2025-09-02T10:00:00Z,18.9,-156.19,-10.22187,2.4066873
2025-09-02T10:00:00Z,18.9,-156.13,-10.309067,1.9301299
2025-09-02T10:00:00Z,18.9,-156.07,-10.542244,1.3326234
2025-09-02T10:00:00Z,18.9,-156.01,-10.836322,0.7551292
2025-09-02T10:00:00Z,18.9,-155.95,-10.985046,0.09120952
2025-09-02T10:00:00Z,18.9,-155.89,-10.804216,-0.6242851
2025-09-02T10:00:00Z,18.9,-155.83,-10.237323,-1.4687877
2025-09-02T10:00:00Z,18.9,-155.77,-9.462913,-2.294216
2025-09-02T10:00:00Z,18.9,-155.71,-8.651069,-2.9577072
2025-09-02T10:00:00Z,18.9,-155.65,-8.180426,-3.521603
2025-09-02T10:00:00Z,18.9,-155.59,-8.045563,-3.6230588
2025-09-02T10:00:00Z,18.9,-155.53,-7.7258887,-3.2476609
2025-09-02T10:00:00Z,18.9,-155.47,-7.367687,-3.0753024
2025-09-02T10:00:00Z,18.9,-155.41,-7.088837,-3.0360157
2025-09-02T10:00:00Z,18.9,-155.35,-6.9087167,-3.0636854
2025-09-02T10:00:00Z,18.9,-155.29,-6.815208,-3.0877404
2025-09-02T10:00:00Z,18.9,-155.23,-6.742386,-3.0795605
2025-09-02T10:00:00Z,18.9,-155.17,-6.6052976,-3.097239
2025-09-02T10:00:00Z,18.9,-155.11,-6.394196,-3.1635945
2025-09-02T10:00:00Z,18.9,-155.05,-6.1932664,-3.2183304
2025-09-02T10:00:00Z,18.9,-154.99,-6.039933,-3.2536738
2025-09-02T10:00:00Z,18.9,-154.93,-5.9342275,-3.2819982
2025-09-02T10:00:00Z,18.9,-154.87,-5.8893085,-3.281796
2025-09-02T10:00:00Z,18.9,-154.81,-5.9306197,-3.1151083
