Date, North (mm), East (mm)
2005-03-18,0.00,0.00
2005-03-19,-1.04,-0.30
2005-03-20,1.58,-0.47
2005-03-21,-0.75,-1.20
2005-03-22,3.09,-0.38
2005-03-23,-0.06,-0.31
2005-03-24,0.97,-0.56
2005-03-25,0.28,-0.22
2005-03-26,1.64,-0.36
2005-03-27,1.82,0.52
2005-03-28,2.36,0.40
2005-03-29,1.62,-0.35
2005-03-30,1.83,-1.71
2005-03-31,2.41,-0.66
2005-04-01,2.04,-0.78
2005-04-02,2.77,-1.63
2005-04-03,2.42,-2.36
2005-04-04,1.00,-2.35
2005-04-05,1.30,-1.52
2005-04-06,1.78,-0.01
2005-04-07,2.17,-2.14
2005-04-08,0.39,-3.25
2005-04-09,1.67,-2.37
2005-04-10,2.20,-1.93
2005-04-11,2.56,-1.11
2005-04-12,1.80,-2.10
2005-04-13,1.62,-2.06
2005-04-14,2.35,-1.88
2005-04-15,1.58,-1.89
2005-04-16,2.13,-1.39
2005-04-17,2.27,-1.67
2005-04-18,1.63,-0.91
2005-04-19,1.78,-2.94
2005-04-20,1.69,-1.87
2005-04-21,1.21,-1.34
2005-04-22,2.41,-1.07
2005-04-23,1.67,-2.14
2005-04-24,0.69,-2.30
2005-04-25,3.04,-2.29
2005-04-26,2.33,-2.01
2005-04-27,1.11,-1.40
2005-04-28,1.71,-2.11
2005-04-29,0.19,-2.31
2005-04-30,2.09,-1.57
2005-05-01,1.30,-2.37
2005-05-02,2.15,-3.67
2005-05-03,4.06,-1.95
2005-05-04,2.39,-2.65
2005-05-05,2.02,-2.16
2005-05-06,2.22,-3.28
2005-05-07,1.76,-2.28
2005-05-08,2.35,-3.22
2005-05-09,2.23,-0.48
2005-05-10,2.59,-2.44
2005-05-11,3.56,-2.80
2005-05-12,3.27,-2.16
2005-05-13,3.66,-2.31
2005-05-14,4.09,-2.57
2005-05-15,3.23,-2.59
2005-05-16,2.44,-4.34
2005-05-17,2.06,-3.40
2005-05-18,3.86,-1.84
2005-05-19,3.28,0.03
2005-05-20,2.57,-4.34
2005-05-21,2.39,-2.57
2005-05-22,2.96,-2.30
2005-05-23,2.46,-2.96
2005-05-24,2.32,-3.63
2005-05-25,3.55,-2.30
2005-05-26,3.34,-2.36
2005-05-27,3.80,-2.83
2005-05-28,2.22,-2.01
2005-05-29,2.99,-3.25
2005-05-30,3.68,-3.51
2005-05-31,3.62,-2.78
2005-06-01,3.63,-3.05
2005-06-02,1.47,-3.17
2005-06-03,3.68,-2.70
2005-06-04,2.72,-2.42
2005-06-05,2.10,-3.67
2005-06-06,3.97,-3.02
2005-06-07,1.28,-3.15
2005-06-08,2.38,-4.78
2005-06-09,4.24,-4.09
2005-06-10,2.16,-3.37
2005-06-11,1.70,-3.71
2005-06-12,1.57,-3.37
2005-06-13,3.40,-3.52
2005-06-14,2.89,-3.80
2005-06-15,2.77,-3.27
2005-06-16,3.00,-3.73
2005-06-17,2.93,-4.13
2005-06-18,2.94,-3.64
2005-06-19,1.95,-4.90
2005-06-20,3.21,-4.32
2005-06-21,2.10,-3.88
2005-06-22,3.86,-2.86
2005-06-23,1.81,-4.26
2005-06-24,3.41,-3.93
2005-06-25,1.73,-3.83
2005-06-26,3.62,-3.96
2005-06-27,3.50,-5.03
2005-06-28,3.33,-2.69
2005-06-29,2.77,-4.84
2005-06-30,3.59,-3.99
2005-07-01,2.64,-5.03
2005-07-02,2.09,-4.00
2005-07-03,2.20,-4.71
2005-07-04,3.68,-4.63
2005-07-05,2.05,-3.92
2005-07-06,2.85,-4.12
2005-07-07,3.12,-5.36
2005-07-08,2.35,-4.07
2005-07-09,3.43,-4.46
2005-07-10,3.54,-4.29
2005-07-11,2.26,-4.91
2005-07-12,2.61,-4.79
2005-07-13,3.09,-4.94
2005-07-14,4.19,-5.42
2005-07-15,2.25,-5.20
2005-07-16,3.05,-4.33
2005-07-17,1.73,-5.48
2005-07-18,2.53,-5.74
2005-07-19,3.29,-4.87
2005-07-20,3.58,-4.31
2005-07-21,3.16,-4.57
2005-07-22,4.39,-4.92
2005-07-23,2.55,-4.94
2005-07-24,3.41,-5.47
2005-09-10,3.22,-5.31
2005-09-11,5.51,-7.04
2005-09-12,5.08,-6.83
2005-09-13,3.59,-7.19
2005-09-14,4.13,-6.93
2005-09-15,4.83,-6.34
2005-09-16,5.28,-6.42
2005-09-17,5.53,-7.51
2005-09-18,5.55,-6.63
2005-09-19,5.05,-6.72
2005-09-20,5.27,-7.14
