Date,North (mm),East (mm)
2008-04-25,0.00,0.00
2008-04-26,1.22,0.19
2008-04-27,0.30,0.06
2008-04-28,0.14,0.11
2008-04-29,-1.39,-1.36
2008-04-30,0.40,-0.49
2008-05-01,2.01,-0.22
2008-05-02,-0.17,-0.41
2008-05-03,0.26,-1.21
2008-05-04,1.72,-0.29
2008-05-05,0.57,-0.70
2008-05-06,-0.77,-2.01
2008-05-07,0.84,-1.50
2008-05-08,-0.04,-3.12
2008-05-09,0.07,-2.54
2008-05-10,0.55,-0.63
2008-05-11,1.91,-0.57
2008-05-12,0.85,-1.26
2008-05-13,0.48,-2.17
2008-05-14,2.03,-1.25
2008-05-15,1.34,-1.61
2008-05-16,1.36,0.17
2008-05-17,0.22,-3.17
2008-05-18,0.57,-1.75
2008-05-19,0.08,-1.99
2008-05-20,1.52,-2.19
2008-05-21,1.97,-1.95
2008-05-22,0.27,-1.97
2008-05-23,1.35,-0.69
2008-05-24,1.76,-1.36
2008-05-25,1.95,-2.18
2008-05-26,1.54,-1.29
2008-05-27,1.04,-1.98
2008-05-28,1.84,-3.32
2008-05-29,3.65,-2.39
2008-05-30,2.63,-1.08
2008-05-31,3.12,-2.42
2008-06-01,3.81,-2.11
2008-06-02,3.48,-2.85
2008-06-03,3.04,-1.34
2008-06-04,2.46,-2.94
2008-06-05,5.45,-2.46
2008-06-06,4.51,-2.88
2008-06-07,3.00,-3.80
2008-06-08,3.05,-3.56
2008-06-09,4.50,-1.47
2008-06-10,2.37,-3.71
2008-06-11,4.25,-3.37
2008-06-12,4.22,-1.80
2008-06-13,4.13,-2.75
2008-06-14,0.59,-5.24
2008-06-15,3.28,-4.01
2008-06-16,3.98,-4.12
2008-06-17,3.64,-2.35
2008-06-18,4.03,-4.16
2008-06-19,6.13,-3.32
2008-06-20,5.62,-3.11
2008-06-21,5.34,-3.49
2008-06-22,4.90,-1.87
2008-06-23,3.73,-4.36
2008-06-24,4.12,-4.47
2008-06-25,3.84,-4.13
2008-06-26,5.63,-4.14
2008-06-27,5.30,-3.74
2008-06-28,3.23,-4.28
2008-06-29,4.48,-3.95
2008-06-30,4.28,-4.17
2008-07-01,4.82,-5.03
2008-07-02,5.52,-6.61
2008-07-03,5.22,-5.90
2008-07-04,5.56,-5.75
2008-07-05,5.26,-4.74
2008-07-06,4.90,-4.63
2008-07-07,5.68,-3.63
2008-07-08,5.33,-4.94
2008-07-09,5.26,-4.37
2008-07-10,4.94,-6.12
2008-07-11,6.88,-6.54
2008-07-12,6.08,-5.96
2008-07-13,6.48,-5.07
2008-07-14,6.11,-5.89
2008-07-15,5.49,-5.97
2008-07-16,4.43,-4.92
2008-07-17,4.72,-6.38
2008-07-18,6.41,-5.13
2008-07-19,5.41,-7.80
2008-07-20,8.48,-3.63
2008-07-21,6.30,-5.93
2008-07-22,5.83,-6.51
2008-07-23,7.18,-5.66
2008-07-24,6.59,-7.21
2008-07-25,5.22,-7.18
2008-07-26,8.26,-5.08
2008-07-27,7.94,-5.06
2008-07-28,7.57,-6.71
2008-07-29,8.47,-6.43
2008-07-30,8.80,-7.09
2008-07-31,7.91,-6.63
2008-08-01,7.42,-7.77
2008-08-02,8.47,-8.25
2008-08-03,10.04,-8.06
2008-08-04,8.98,-7.28
2008-08-05,8.61,-6.74
2008-08-06,7.56,-7.80
2008-08-07,8.99,-8.03
2008-08-08,9.34,-7.97
2008-08-09,8.66,-8.20
2008-08-10,10.26,-7.69
2008-08-11,8.35,-8.25
2008-08-12,8.71,-8.79
2008-08-13,8.37,-9.72
2008-08-14,9.98,-6.93
2008-08-15,10.37,-7.33
2008-08-16,9.20,-8.89
2008-08-17,8.25,-8.65
2008-08-18,10.10,-5.69
2008-08-19,9.99,-9.88
2008-08-20,9.34,-10.92
2008-08-21,8.99,-10.95
2008-08-22,11.22,-10.72
