Date, North (mm), East (mm), Vertical (mm)
2010-08-13,55.65,-49.76,2.93
2010-08-14,54.57,-49.95,-3.56
2010-08-15,55.07,-50.93,-2.17
2010-08-16,53.91,-50.54,0.55
2010-08-17,55.21,-49.95,-5.59
2010-08-18,53.30,-51.03,-9.07
2010-08-19,54.83,-49.40,-5.51
2010-08-20,55.34,-50.70,0.69
2010-08-21,54.19,-50.90,-1.52
2010-08-22,55.64,-50.07,0.62
2010-08-23,55.11,-50.86,-5.54
2010-08-24,56.62,-50.94,-1.94
2010-08-25,54.14,-51.49,3.37
2010-08-26,55.37,-51.53,-9.29
2010-08-27,54.89,-52.12,-3.28
2010-08-28,56.49,-52.41,0.95
2010-08-29,55.89,-52.87,0.98
2010-08-30,54.98,-51.76,-1.90
2010-08-31,54.91,-50.40,2.86
2010-09-01,54.17,-51.82,0.85
2010-09-02,55.44,-51.34,2.00
2010-09-03,55.36,-50.91,-1.07
2010-09-04,56.17,-50.45,-2.46
2010-09-05,56.29,-50.83,2.07
2010-09-06,54.94,-51.31,3.24
2010-09-07,57.46,-50.99,5.30
2010-09-08,55.54,-51.07,2.90
2010-09-09,56.52,-52.12,0.30
2010-09-10,55.60,-50.82,0.07
2010-09-11,55.84,-51.80,-3.14
2010-09-12,57.80,-50.53,-5.66
2010-09-13,55.96,-50.61,-5.55
2010-09-14,54.34,-50.83,-0.03
2010-09-15,55.68,-51.01,-3.74
2010-09-16,55.43,-51.69,-5.92
2010-09-17,56.17,-51.28,0.13
2010-09-18,57.67,-51.91,-1.37
2010-09-19,58.14,-51.30,-1.03
2010-09-20,55.16,-51.43,0.67
2010-09-21,54.45,-51.58,4.26
2010-09-22,56.87,-52.11,-2.77
2010-09-23,56.16,-52.07,-2.32
2010-09-24,56.28,-51.98,-1.52
2010-09-25,56.04,-51.73,-6.18
2010-09-26,55.62,-52.25,-5.96
2010-09-27,57.28,-50.89,-4.81
2010-09-28,55.45,-51.74,0.78
2010-09-29,54.75,-53.06,3.44
2010-09-30,56.62,-50.18,5.46
2010-10-01,55.55,-50.88,3.33
2010-10-02,57.79,-50.63,-2.44
2010-10-03,56.34,-49.96,-1.31
2010-10-04,57.58,-53.50,1.30
2010-10-05,55.47,-51.93,-2.36
2010-10-06,56.62,-51.26,-5.72
2010-10-07,57.70,-51.53,-11.64
2010-10-08,55.60,-51.92,-11.00
2010-10-09,56.16,-53.05,-6.64
2010-10-10,55.74,-52.79,-1.07
2010-10-11,56.23,-52.23,-2.22
2010-10-12,57.50,-51.80,-4.74
2010-10-13,56.60,-52.10,-8.09
2010-10-14,56.78,-52.11,-3.45
2010-10-15,55.19,-51.64,-0.90
2010-10-16,55.35,-52.10,-0.23
2010-10-17,57.37,-51.64,-1.93
2010-10-18,57.52,-51.80,-4.84
2010-10-19,55.61,-50.62,-5.61
2010-10-20,58.46,-53.41,-1.88
2010-10-21,58.14,-53.31,-5.63
2010-10-22,57.35,-54.05,1.57
2010-10-23,57.21,-52.17,-4.11
2010-10-24,56.29,-52.08,-19.19
2010-10-25,60.37,-56.02,0.73
2010-10-26,57.45,-53.70,-5.69
2010-10-27,58.25,-52.75,-3.91
2010-10-28,58.80,-53.66,-8.05
2010-10-29,56.95,-51.39,-8.33
2010-10-30,60.03,-54.63,0.32
2010-10-31,56.85,-52.47,-10.13
2010-11-01,57.70,-52.83,-8.04
2010-11-02,58.43,-54.43,-4.15
2010-11-03,58.80,-55.01,-5.02
2010-11-04,58.36,-53.49,-5.97
2010-11-05,58.38,-52.58,2.90
2010-11-06,58.38,-53.23,4.79
2010-11-07,58.53,-53.75,-7.78
2010-11-08,56.89,-54.71,4.25
2010-11-09,58.16,-52.85,-3.00
2010-11-10,58.06,-55.68,-3.09
2010-11-11,58.43,-53.84,-12.52
2010-11-12,58.55,-52.97,-11.70
2010-11-13,59.51,-53.16,-9.89
2010-11-14,59.06,-52.53,-5.91
2010-11-15,59.69,-52.66,-0.95
2010-11-16,58.85,-52.36,-5.30
2010-11-17,58.26,-52.43,-9.33
2010-11-18,58.42,-52.63,-4.04
2010-11-19,57.15,-53.57,-3.29
2010-11-20,58.07,-53.06,-5.42
2010-11-21,57.96,-53.73,-6.51
2010-11-22,57.98,-54.74,-0.68
2010-11-23,56.99,-54.39,-8.19
2010-11-24,57.35,-52.88,-4.57
2010-11-25,59.49,-53.60,-7.00
2010-11-26,58.93,-52.63,-7.95
2010-11-27,59.22,-53.40,-9.15
2010-11-28,58.19,-54.38,-10.25
2010-11-29,58.58,-53.78,-9.89
2010-11-30,59.36,-53.10,-12.10
2010-12-01,59.23,-52.61,-11.94
2010-12-02,59.60,-52.69,-16.92
2010-12-03,58.70,-52.61,-9.01
2010-12-04,57.72,-53.09,-10.20
2010-12-05,57.97,-52.88,-10.60
2010-12-06,57.70,-54.60,-9.38
2010-12-07,59.64,-53.29,-11.23
2010-12-08,59.29,-53.18,-11.94
2010-12-09,58.66,-54.41,-8.06
2010-12-10,59.47,-57.00,-8.10
2010-12-11,60.03,-53.55,-14.82
2010-12-12,59.07,-54.06,-9.60
2010-12-13,58.09,-54.01,-3.42
2010-12-14,58.63,-54.87,-0.30
2010-12-15,58.51,-54.61,-7.66
2010-12-16,59.04,-54.35,-6.55
2010-12-17,59.41,-54.71,-14.15
2010-12-18,57.29,-53.98,-7.74
2010-12-19,57.86,-53.44,-7.07
2010-12-20,59.07,-55.16,-6.68
2010-12-21,57.86,-53.20,-15.10
2010-12-22,63.26,-57.99,-4.02
2010-12-23,58.08,-55.35,-9.71
2010-12-24,59.14,-55.04,-8.78
2010-12-25,58.92,-55.30,-4.73
2010-12-26,59.09,-55.90,-15.48
2010-12-27,61.03,-54.10,-14.74
2010-12-28,60.63,-54.26,-14.81
2010-12-29,59.38,-55.90,-4.42
2010-12-30,57.48,-54.60,-15.75
2010-12-31,58.56,-54.64,-9.57
2011-01-01,59.36,-53.66,-9.77
2011-01-02,59.34,-52.60,-9.52
2011-01-03,59.67,-53.93,-8.03
2011-01-04,59.64,-55.71,-4.60
2011-01-05,60.87,-54.82,-17.51
2011-01-06,61.26,-54.61,-20.58
2011-01-07,60.06,-53.66,-11.21
2011-01-08,59.67,-52.99,-8.69
2011-01-09,60.38,-54.55,-12.41
2011-01-10,60.33,-54.79,-14.50
2011-01-11,60.60,-54.13,-17.82
2011-01-12,60.18,-54.08,-18.22
2011-01-13,61.71,-53.81,-21.64
2011-01-14,59.42,-54.54,-11.47
2011-01-15,62.89,-55.03,-14.65
2011-01-16,60.86,-54.25,-12.10
2011-01-17,61.10,-54.63,-8.81
2011-01-18,60.74,-54.65,-7.02
2011-01-19,60.26,-55.07,-8.20
2011-01-20,63.62,-53.52,-10.16
2011-01-21,61.12,-55.93,-7.83
2011-01-22,60.83,-55.01,-6.21
2011-01-23,63.63,-54.33,-9.82
2011-01-24,61.58,-55.14,-11.12
2011-01-25,62.30,-55.01,-9.36
2011-01-26,63.22,-55.05,-14.77
2011-01-27,65.08,-55.26,-15.23
2011-01-28,61.48,-55.11,-13.73
2011-01-29,61.39,-54.66,-14.02
2011-01-30,60.51,-57.24,-19.92
2011-01-31,54.43,-57.64,-17.74
2011-02-01,62.50,-55.43,-18.07
2011-02-02,61.00,-56.50,-16.14
2011-02-03,62.93,-55.89,-23.94
2011-02-04,61.32,-55.94,-13.98
2011-02-05,62.76,-55.57,-13.89
2011-02-06,61.02,-56.15,-10.86
2011-02-07,62.44,-54.94,-17.44
2011-02-08,62.32,-57.37,-20.73
2011-02-09,63.58,-56.31,-8.98
2011-02-10,63.28,-55.91,-9.67
2011-02-11,62.63,-57.38,-5.28
2011-02-12,64.11,-55.81,-15.26
2011-02-13,63.49,-56.23,-12.17
2011-02-14,61.60,-55.68,-8.29
2011-02-15,62.90,-57.97,-17.00
2011-02-16,60.97,-56.19,-12.36
2011-02-17,62.14,-57.24,-10.37
2011-02-18,63.13,-55.72,-10.95
2011-02-19,61.63,-56.36,-10.08
2011-02-20,61.27,-56.18,-11.99
2011-02-21,62.07,-55.81,-8.61
2011-02-22,62.04,-56.26,-12.92
2011-02-23,63.23,-56.46,-14.40
2011-02-24,63.10,-57.60,-13.30
2011-02-25,62.99,-58.38,-14.22
2011-02-26,57.45,-58.56,-5.64
2011-02-27,60.63,-55.58,-4.35
2011-02-28,62.90,-56.59,-11.19
2011-03-01,62.33,-56.78,-15.77
2011-03-02,63.87,-55.92,-17.01
2011-03-03,62.82,-57.75,-18.81
2011-03-04,62.30,-56.92,-16.86
2011-03-05,63.74,-55.38,-18.33
2011-03-06,63.51,-57.73,-16.75
2011-03-07,62.25,-58.76,-15.70
2011-03-08,63.66,-59.65,-15.68
2011-03-09,62.81,-57.22,-14.80
2011-03-10,63.86,-56.97,-12.80
2011-03-11,63.36,-58.33,-14.76
2011-03-12,63.81,-56.91,-15.22
2011-03-13,64.12,-58.43,-19.75
2011-03-14,63.58,-58.16,-20.78
2011-03-15,62.96,-57.14,-25.28
2011-03-16,61.00,-57.64,-15.77
2011-03-17,64.41,-57.52,-14.70
2011-03-18,62.51,-57.26,-14.32
2011-03-19,62.10,-56.96,-13.52
2011-03-20,65.34,-61.32,-1.28
2011-03-21,66.86,-57.60,-9.74
2011-03-22,63.86,-58.04,-12.25
2011-03-23,63.36,-57.67,-16.26
2011-03-24,62.17,-58.43,-6.71
2011-03-25,62.43,-59.50,-8.42
2011-03-26,63.57,-59.40,-14.04
2011-03-27,63.22,-59.90,-16.82
2011-03-28,63.26,-59.03,-15.12
2011-03-29,64.91,-58.10,-20.61
2011-03-30,63.30,-57.81,-15.33
2011-03-31,63.84,-58.07,-17.08
2011-04-01,63.93,-57.57,-13.76
2011-04-02,63.50,-57.90,-8.12
2011-04-03,62.82,-58.60,-16.61
2011-04-04,64.16,-57.81,-13.89
2011-04-05,64.46,-57.66,-9.91
2011-04-06,63.57,-59.23,-9.78
2011-04-07,62.88,-58.11,-16.55
2011-04-08,62.30,-58.67,-8.52
2011-04-09,64.53,-57.06,-12.88
2011-04-10,64.02,-58.64,-14.35
2011-04-11,64.89,-57.44,-16.40
2011-04-12,65.33,-57.62,-16.40
2011-04-13,64.46,-58.74,-21.73
2011-04-14,65.49,-59.76,-13.48
2011-04-15,62.41,-57.58,-20.64
2011-04-16,63.02,-56.52,-13.32
2011-04-17,64.72,-57.92,-12.84
2011-04-18,64.51,-58.97,-17.46
2011-04-19,66.31,-59.43,-10.81
2011-04-20,63.56,-58.32,-22.96
2011-04-21,61.60,-57.59,-11.24
2011-04-22,64.62,-56.69,-10.39
2011-04-23,63.38,-58.59,-13.29
2011-04-24,64.06,-58.73,-9.41
2011-04-25,67.20,-61.60,-14.33
2011-04-26,64.88,-60.75,-13.70
2011-04-27,64.28,-58.85,-7.46
2011-04-28,64.55,-58.43,-15.90
2011-04-29,66.09,-60.69,-16.78
2011-04-30,64.63,-56.70,-14.89
2011-05-01,64.20,-58.27,-13.71
2011-05-02,64.04,-57.69,-14.29
2011-05-03,64.95,-58.01,-14.74
2011-05-04,64.95,-57.75,-13.12
2011-05-05,63.95,-58.58,-15.73
2011-05-06,65.18,-59.09,-11.44
2011-05-07,63.79,-58.96,-3.84
2011-05-08,64.64,-58.32,-6.33
2011-05-09,62.45,-59.77,-4.11
2011-05-10,66.07,-58.19,-6.14
2011-05-11,65.03,-58.75,-5.72
2011-05-12,65.89,-56.96,-17.57
2011-05-13,64.15,-58.60,-14.39
2011-05-14,64.75,-58.51,-10.96
2011-05-15,64.63,-59.35,-19.19
2011-05-16,67.09,-60.07,-20.30
2011-05-17,64.68,-60.62,-9.47
2011-05-18,63.63,-59.78,-13.78
2011-05-19,65.43,-59.83,-12.14
2011-05-20,65.27,-57.72,-14.23
2011-05-21,66.81,-57.96,-14.80
2011-05-22,66.31,-58.57,-11.21
2011-05-23,63.51,-59.80,-13.41
2011-05-24,65.56,-60.45,-14.59
2011-05-25,65.58,-57.77,-14.95
2011-05-26,65.19,-59.33,-19.40
2011-05-27,65.10,-60.89,-13.10
2011-05-28,66.05,-59.54,-10.47
2011-05-29,64.08,-60.34,-14.75
2011-05-30,65.43,-61.12,-10.62
2011-05-31,64.40,-59.60,-10.21
2011-06-01,67.27,-58.84,-16.07
2011-06-02,68.20,-59.67,-17.54
2011-06-03,66.85,-59.53,-11.52
2011-06-04,63.99,-59.51,-14.29
2011-06-05,65.99,-60.28,-6.84
2011-06-06,65.46,-60.18,-12.40
2011-06-07,67.18,-60.08,-11.69
2011-06-08,67.27,-60.28,-10.88
2011-06-09,66.24,-59.96,-10.14
2011-06-10,67.05,-60.08,-7.94
2011-06-11,67.53,-60.28,-4.04
2011-06-12,66.09,-60.51,-6.06
2011-06-13,68.59,-60.18,-8.88
2011-06-14,65.85,-60.33,-5.75
2011-06-15,67.24,-59.92,-9.60
2011-06-16,66.25,-60.58,-5.93
2011-06-17,67.46,-60.72,-5.49
2011-06-18,67.15,-60.50,-9.90
2011-06-19,66.42,-61.76,-12.32
2011-06-20,66.36,-60.62,-6.85
2011-06-21,66.46,-59.93,-2.78
2011-06-22,66.50,-61.60,-3.10
2011-06-23,67.09,-61.10,-5.29
2011-06-24,67.87,-61.44,-4.68
2011-06-25,67.66,-61.23,-4.85
2011-06-26,67.50,-61.64,-7.11
2011-06-27,65.77,-60.95,-2.40
2011-06-28,67.36,-59.50,-6.49
2011-06-29,66.54,-62.93,-9.04
2011-06-30,67.61,-60.33,-12.14
2011-07-01,67.32,-61.14,-6.09
2011-07-02,66.68,-60.31,-3.79
2011-07-03,68.50,-60.12,-6.11
2011-07-04,67.46,-62.14,-2.79
2011-07-05,70.34,-62.46,-12.83
2011-07-06,67.18,-61.55,-9.36
2011-07-07,66.89,-61.29,-7.40
2011-07-08,68.53,-62.39,-1.90
2011-07-09,67.85,-60.96,-5.95
2011-07-10,67.38,-62.10,-1.60
2011-07-11,69.93,-60.68,-11.10
2011-07-12,68.27,-61.34,-10.46
2011-07-13,67.57,-61.40,-12.70
2011-07-14,68.38,-61.64,-13.52
2011-07-15,69.28,-61.35,-2.44
2011-07-16,66.76,-62.54,-8.13
2011-07-17,68.16,-61.50,-10.26
2011-07-18,68.06,-61.25,-15.95
2011-07-19,69.60,-61.45,-7.99
2011-07-20,69.87,-60.60,-7.78
2011-07-21,69.25,-62.18,-2.68
2011-07-22,69.73,-62.12,-10.87
2011-07-23,67.76,-61.68,-11.96
2011-07-24,68.34,-62.15,-6.37
2011-07-25,69.47,-61.85,-0.88
2011-07-26,69.21,-60.61,1.19
2011-07-27,68.77,-62.80,-5.97
2011-07-28,67.18,-62.56,-1.70
2011-07-29,68.05,-62.36,-7.53
2011-07-30,69.21,-63.05,-6.57
2011-07-31,66.96,-61.72,-7.12
2011-08-01,70.22,-62.58,-10.78
2011-08-02,67.98,-62.25,-11.93
2011-08-03,68.05,-61.62,-9.73
2011-08-04,70.83,-61.47,-5.17
2011-08-05,70.17,-61.89,-8.70
2011-08-06,69.01,-62.69,-12.33
2011-08-07,69.30,-62.24,-8.39
2011-08-08,68.20,-61.68,-5.72
2011-08-09,69.97,-61.12,-6.29
2011-08-10,68.66,-62.09,-8.29
2011-08-11,68.12,-61.90,-5.16
2011-08-12,67.96,-62.09,-6.22
2011-08-13,68.11,-62.05,-8.62
2011-08-14,68.06,-62.26,-10.24
2011-08-15,69.51,-62.82,-4.91
2011-08-16,68.60,-62.76,-6.86
2011-08-17,67.89,-62.74,-7.31
2011-08-18,68.58,-62.43,-9.52
2011-08-19,67.84,-62.59,-5.05
2011-08-20,68.19,-62.62,-6.04
2011-08-21,67.08,-62.61,-3.88
2011-08-22,68.67,-62.43,-1.09
2011-08-23,70.35,-63.30,0.99
2011-08-24,69.44,-63.67,-6.75
2011-08-25,69.56,-63.09,-3.85
2011-08-26,67.38,-62.19,-7.25
2011-08-27,68.82,-62.46,-5.71
2011-08-28,68.56,-62.72,-5.74
2011-08-29,71.72,-63.14,-5.65
2011-08-30,68.78,-62.95,-6.26
2011-08-31,68.51,-63.68,0.50
2011-09-01,69.81,-63.13,-4.49
2011-09-02,69.09,-63.61,-3.51
2011-09-03,69.39,-62.19,-6.32
2011-09-04,69.93,-62.93,-6.61
2011-09-05,69.21,-63.21,-9.90
2011-09-06,66.91,-64.49,-4.97
2011-09-07,67.61,-64.05,-6.24
2011-09-08,68.90,-63.25,-6.97
2011-09-09,68.56,-62.86,-11.68
2011-09-10,68.72,-60.58,-8.30
2011-09-11,69.46,-63.47,-12.69
2011-09-12,66.93,-64.62,-6.01
2011-09-13,69.04,-61.80,-2.73
2011-09-14,69.99,-63.42,-5.74
2011-09-15,68.68,-63.91,-2.05
2011-09-16,71.38,-62.83,-5.67
2011-09-17,70.10,-63.96,-0.34
2011-09-18,70.34,-64.34,-3.93
2011-09-19,70.38,-63.86,-2.84
2011-09-20,69.48,-64.30,-5.18
2011-09-21,66.80,-64.38,-9.33
2011-09-22,70.12,-63.48,-4.39
2011-09-23,69.61,-64.10,-3.30
2011-09-24,70.43,-62.50,2.88
2011-09-25,68.97,-63.95,-4.53
2011-09-26,69.89,-64.67,-2.77
2011-09-27,69.36,-64.28,-2.08
2011-09-28,68.93,-64.43,-4.00
2011-09-29,69.50,-63.87,-0.84
2011-09-30,71.20,-65.67,-0.21
2011-10-01,70.19,-63.75,-9.71
2011-10-02,68.18,-63.22,-8.09
2011-10-03,68.97,-65.25,-8.08
2011-10-04,70.18,-65.17,-8.10
2011-10-05,69.04,-64.46,-4.22
2011-10-06,69.89,-66.96,-5.25
2011-10-07,70.97,-64.97,-9.79
2011-10-08,69.56,-65.11,-7.37
2011-10-09,69.90,-64.31,-4.91
2011-10-10,69.92,-64.65,-3.84
2011-10-11,68.32,-64.90,-4.40
2011-10-12,70.77,-64.69,-6.99
2011-10-13,70.33,-65.32,-8.84
2011-10-14,71.32,-64.66,-2.51
2011-10-15,70.08,-63.44,-0.71
2011-10-16,70.81,-64.93,-3.17
2011-10-17,69.98,-63.62,-7.18
2011-10-18,71.19,-65.47,-2.56
2011-10-19,69.45,-64.87,-4.17
2011-10-20,69.46,-64.37,-3.74
2011-10-21,69.90,-66.11,-6.04
2011-10-22,69.11,-64.95,-6.20
2011-10-23,70.33,-65.17,-4.22
2011-10-24,71.23,-64.49,-10.22
2011-10-25,71.12,-64.67,-10.98
2011-10-26,70.43,-64.59,-10.48
2011-10-27,70.95,-64.84,-4.92
2011-10-28,71.58,-64.73,-4.96
2011-10-29,70.78,-64.75,-4.04
2011-10-30,71.53,-64.58,-5.53
2011-10-31,71.15,-64.18,-2.17
2011-11-01,71.36,-64.81,-5.05
2011-11-02,71.23,-65.85,-5.37
2011-11-03,71.13,-64.60,-11.17
2011-11-04,69.14,-67.25,-6.80
2011-11-05,69.45,-64.52,-2.74
2011-11-06,70.40,-65.60,-5.81
2011-11-07,70.92,-64.75,-6.94
2011-11-08,72.44,-64.09,-15.95
2011-11-09,72.41,-65.20,-13.41
2011-11-10,72.14,-66.74,-8.19
2011-11-11,71.29,-64.93,-0.88
2011-11-12,71.13,-66.69,2.95
2011-11-13,71.54,-66.23,-3.09
2011-11-14,72.49,-64.87,-2.88
2011-11-15,72.78,-65.22,-3.87
2011-11-16,71.87,-65.65,-12.00
2011-11-17,72.20,-65.43,-14.72
2011-11-18,71.12,-67.25,-12.49
2011-11-19,72.40,-65.24,-8.35
2011-11-20,71.52,-66.43,-5.47
2011-11-21,71.72,-64.55,-14.97
2011-11-22,71.45,-65.82,-13.27
2011-11-23,71.96,-65.25,-12.94
2011-11-24,71.87,-66.67,-5.39
2011-11-25,71.43,-65.57,-14.23
2011-11-26,70.64,-66.22,-7.40
2011-11-27,72.54,-64.84,-14.09
2011-11-28,71.36,-66.04,-9.64
2011-11-29,70.92,-66.17,-7.52
2011-11-30,71.96,-67.53,-8.60
2011-12-01,71.83,-67.09,-12.76
2011-12-02,72.67,-66.42,-4.66
2011-12-03,71.36,-65.95,-12.50
2011-12-04,71.95,-66.25,-10.45
2011-12-05,73.30,-66.49,-14.43
2011-12-06,72.35,-67.62,-11.30
2011-12-07,71.07,-66.68,-6.21
2011-12-08,72.15,-66.95,-9.26
2011-12-09,72.87,-67.48,-6.16
2011-12-10,71.93,-66.26,-9.37
2011-12-11,70.84,-67.42,-7.42
2011-12-12,70.56,-67.85,-7.34
2011-12-13,71.11,-68.84,-1.15
2011-12-14,70.97,-66.34,-8.42
2011-12-15,72.35,-66.23,-8.95
2011-12-16,71.79,-65.30,-13.55
2011-12-17,72.66,-65.82,-6.55
2011-12-18,71.12,-64.91,-4.42
2011-12-19,71.56,-67.44,-5.59
2011-12-20,72.45,-66.69,-5.74
2011-12-21,71.63,-66.14,-3.32
2011-12-22,72.77,-66.08,-14.81
2011-12-23,72.89,-65.69,-15.15
2011-12-24,73.10,-65.66,-11.65
2011-12-25,71.94,-67.61,-11.22
2011-12-26,72.79,-66.08,-9.11
2011-12-27,72.31,-66.29,-10.81
2011-12-28,72.76,-67.01,-10.35
2011-12-29,72.03,-67.29,-3.03
2011-12-30,73.40,-67.42,-1.58
2011-12-31,74.03,-66.84,-10.25
2012-01-01,74.08,-66.99,-10.00
2012-01-02,72.63,-67.60,-11.05
2012-01-03,72.17,-67.26,-8.40
2012-01-04,73.34,-67.39,-9.32
2012-01-05,72.82,-68.22,-4.85
2012-01-06,73.44,-66.86,-5.59
2012-01-07,73.78,-68.09,-10.75
2012-01-08,74.74,-68.01,-3.94
2012-01-09,74.02,-67.15,-10.95
2012-01-10,73.73,-67.91,-9.25
2012-01-11,72.76,-68.27,-5.90
2012-01-12,74.26,-67.48,-4.11
2012-01-13,73.84,-67.08,-5.94
2012-01-14,72.97,-68.28,-8.42
2012-01-15,73.42,-69.02,-11.98
2012-01-16,72.00,-69.67,-6.84
2012-01-17,72.20,-68.21,-8.08
2012-01-18,72.91,-67.56,-8.74
2012-01-19,73.74,-69.12,-2.67
2012-01-20,72.67,-69.55,-12.09
2012-01-21,73.53,-71.10,-2.84
2012-01-22,74.58,-69.22,-7.92
2012-01-23,74.45,-70.44,-14.12
2012-01-24,73.90,-69.93,-12.50
2012-01-25,74.92,-68.36,-12.40
2012-01-26,74.64,-69.60,-12.33
2012-01-27,74.32,-67.74,-7.07
2012-01-28,76.78,-66.89,-15.87
2012-01-29,74.65,-68.65,-9.54
2012-01-30,73.36,-69.45,-2.64
2012-01-31,73.78,-68.79,-7.51
2012-02-01,73.97,-69.05,-8.86
2012-02-02,74.28,-69.11,-6.64
2012-02-03,74.66,-68.80,-8.67
2012-02-04,73.91,-69.81,-2.15
2012-02-05,73.53,-69.37,-2.55
2012-02-06,75.61,-69.88,-3.79
2012-02-07,75.27,-68.89,-7.51
2012-02-08,74.22,-68.77,-8.64
2012-02-09,75.91,-68.06,-9.03
2012-02-10,75.28,-69.10,-10.99
2012-02-11,73.69,-70.48,-8.38
2012-02-12,73.02,-68.12,-4.04
2012-02-13,73.70,-70.83,-1.24
2012-02-14,72.76,-68.83,-3.80
2012-02-15,74.06,-69.67,-5.45
2012-02-16,75.58,-69.55,-11.61
2012-02-17,74.80,-69.47,-10.70
2012-02-18,74.78,-69.65,-8.49
2012-02-19,74.67,-70.48,-8.64
2012-02-20,74.84,-69.63,-6.35
2012-02-21,73.82,-70.62,-2.09
2012-02-22,74.84,-71.42,-6.60
2012-02-23,74.56,-69.66,-1.07
2012-02-24,76.54,-68.83,-8.39
2012-02-25,77.31,-69.15,-10.27
2012-02-26,75.30,-69.67,-11.08
2012-02-27,73.76,-70.52,-5.91
2012-02-28,75.33,-70.29,-8.17
2012-02-29,75.61,-70.56,-8.78
2012-03-01,76.05,-71.35,-12.85
2012-03-02,78.30,-73.04,-1.12
2012-03-03,76.03,-69.45,-5.56
2012-03-04,75.30,-70.17,-7.28
2012-03-05,76.05,-69.91,-6.14
2012-03-06,75.03,-70.12,-5.62
2012-03-07,76.19,-70.87,-11.86
2012-03-08,76.23,-68.23,-11.66
2012-03-09,76.05,-70.16,-16.24
2012-03-10,75.07,-70.25,-3.05
2012-03-11,76.03,-71.43,-4.81
2012-03-12,75.65,-70.89,-4.42
2012-03-13,77.25,-70.42,-9.10
2012-03-14,76.70,-71.84,-11.57
2012-03-15,75.97,-70.66,-12.06
2012-03-16,77.20,-72.33,-9.58
2012-03-17,72.28,-72.92,-8.15
2012-03-18,76.19,-71.48,-6.10
2012-03-19,76.12,-70.20,-9.40
2012-03-20,77.75,-70.59,-12.96
2012-03-21,77.12,-71.01,-12.49
2012-03-22,74.96,-70.57,-13.82
2012-03-23,76.13,-70.20,-10.23
2012-03-24,77.28,-71.07,-6.99
2012-03-25,78.46,-72.68,-5.74
2012-03-26,76.47,-70.92,-8.73
2012-03-27,76.76,-70.89,-15.26
2012-03-28,76.51,-71.92,-14.02
2012-03-29,77.15,-71.46,-11.85
2012-03-30,76.34,-70.66,-10.77
2012-03-31,77.01,-71.74,-6.70
2012-04-01,75.39,-74.30,-10.21
2012-04-02,75.55,-69.87,-8.42
2012-04-03,76.26,-70.32,-14.26
2012-04-04,76.74,-70.67,-11.36
2012-04-05,75.55,-72.05,-11.39
2012-04-06,76.61,-71.43,-10.16
2012-04-07,75.59,-69.91,-12.78
2012-04-08,76.03,-70.40,-9.62
2012-04-09,75.51,-71.32,-11.93
2012-04-10,74.17,-71.29,-16.14
2012-04-11,74.40,-72.62,-11.87
2012-04-12,75.56,-71.37,-8.83
2012-04-13,76.34,-71.87,-14.80
2012-04-14,76.92,-71.86,-10.75
2012-04-15,77.95,-70.10,-12.56
2012-04-16,76.64,-70.16,-12.16
2012-04-17,77.71,-70.25,-15.71
2012-04-18,78.83,-69.37,-13.41
2012-04-19,75.53,-69.68,-11.46
2012-04-20,76.94,-70.74,-15.05
2012-04-21,78.60,-71.33,-14.55
2012-04-22,76.23,-69.96,-10.37
2012-04-23,76.46,-72.32,-3.23
2012-04-24,77.26,-70.89,-5.53
2012-04-25,77.03,-71.36,-7.27
2012-04-26,77.63,-73.64,-6.10
2012-04-27,77.50,-71.13,-15.23
2012-04-28,77.00,-71.39,-14.05
2012-04-29,77.67,-71.07,-13.88
2012-04-30,77.24,-71.53,-13.00
2012-05-01,74.58,-72.70,-1.50
2012-05-02,76.67,-70.37,-5.66
2012-05-03,78.07,-71.64,-5.15
2012-05-04,78.74,-72.15,-13.01
2012-05-05,76.09,-70.90,-18.69
2012-05-06,76.64,-70.92,-13.67
2012-05-07,78.09,-71.18,-6.91
2012-05-08,79.46,-71.42,-4.30
2012-05-09,77.85,-71.25,-13.46
2012-05-10,77.04,-71.46,-13.82
2012-05-11,77.38,-71.25,-13.67
2012-05-12,76.66,-71.24,-10.79
2012-05-13,77.83,-72.28,-8.80
2012-05-14,78.11,-71.35,-15.66
2012-05-15,77.28,-71.53,-12.48
2012-05-16,78.10,-71.49,-10.62
2012-05-17,79.81,-72.12,-10.61
2012-05-18,77.89,-71.96,-11.92
2012-05-19,77.23,-72.26,-7.07
2012-05-20,78.23,-71.93,-5.15
2012-05-21,78.80,-72.10,-4.28
2012-05-22,78.27,-72.41,-8.56
2012-05-23,79.41,-74.25,-9.08
2012-05-24,77.44,-70.66,-3.80
2012-05-25,77.91,-74.36,-5.17
2012-05-26,77.88,-73.34,-5.21
2012-05-27,77.33,-72.79,-3.31
2012-05-28,79.11,-71.01,-5.17
2012-05-29,79.76,-72.27,-3.19
2012-05-30,79.82,-72.96,-3.76
2012-05-31,79.56,-72.72,-2.57
2012-06-01,80.56,-72.88,-1.90
2012-06-02,79.59,-73.52,1.91
2012-06-03,78.33,-71.73,-1.64
2012-06-04,79.47,-73.41,-3.27
2012-06-05,78.89,-74.07,-12.18
2012-06-06,79.20,-72.51,-1.42
2012-06-07,79.33,-72.35,-6.50
2012-06-08,79.58,-72.19,-5.67
2012-06-09,81.08,-73.25,-1.43
