Date,North (mm),East (mm)
2006-07-15,0.00,0.00
2006-07-16,0.48,-0.32
2006-07-17,2.00,-0.29
2006-07-18,-0.81,-0.29
2006-07-19,-1.40,-0.13
2006-07-20,0.08,0.91
2006-07-21,-0.27,0.56
2006-07-22,0.17,1.01
2006-07-23,-0.17,-0.08
2006-07-24,0.70,-0.86
2006-07-25,0.07,0.31
2006-07-26,0.20,-0.20
2006-07-27,0.28,-0.36
2006-07-28,0.39,0.05
2006-07-29,0.81,-1.81
2006-07-30,-0.03,0.69
2006-07-31,-1.14,0.57
2006-08-01,-0.90,-0.04
2006-08-02,1.02,-0.81
2006-08-03,0.49,0.16
2006-08-04,-0.55,-0.87
2006-08-05,1.51,-0.86
2006-08-06,0.84,-0.87
2006-08-07,0.92,0.22
2006-08-08,0.92,-0.91
2006-08-09,0.84,-0.51
2006-08-10,1.14,0.26
2006-08-11,0.34,-0.70
2006-08-12,-0.14,-0.95
2006-08-13,0.72,-0.28
2006-08-14,-1.36,-1.11
2006-08-15,0.42,-0.60
2006-08-16,0.48,-0.75
2006-08-17,0.10,-1.07
2006-08-18,0.42,-0.12
2006-08-19,-0.48,-1.21
2006-08-20,0.66,-0.57
2006-08-21,1.15,-0.80
2006-08-22,-0.25,-0.91
2006-08-23,0.91,-0.12
2006-08-24,0.21,-0.66
2006-08-25,0.24,-1.35
2006-08-26,0.92,-0.77
2006-08-27,0.66,-1.15
2006-08-28,-0.72,-1.62
2006-08-29,0.64,-1.51
2006-08-30,0.67,-0.47
2006-08-31,0.74,-1.48
2006-09-01,0.75,-0.97
2006-09-02,0.45,-0.51
2006-09-03,-1.24,-2.13
2006-09-04,1.03,-1.61
2006-09-05,0.84,-0.36
2006-09-06,1.85,-1.02
2006-09-07,0.26,-1.54
2006-09-08,0.01,-2.43
2006-09-09,-0.53,-1.46
2006-09-10,0.64,-2.44
2006-09-11,1.32,-2.05
2006-09-12,2.12,-1.56
2006-09-13,0.94,-1.86
2006-09-14,1.16,-5.40
2006-09-15,1.33,-2.73
2006-09-16,2.32,-3.02
2006-09-17,1.18,-1.70
