Date,North (mm),East (mm)
2008-09-24,0.00,0.00
2008-09-25,-0.03,-1.29
2008-09-26,0.33,-1.00
2008-09-27,0.92,0.21
2008-09-28,0.57,-1.11
2008-09-29,-0.06,0.05
2008-09-30,1.77,-0.68
2008-10-01,0.81,-0.43
2008-10-02,0.50,-0.04
2008-10-03,1.51,-1.20
2008-10-04,0.85,-1.03
2008-10-05,1.03,-0.98
2008-10-06,2.23,-0.62
2008-10-07,0.68,-0.84
2008-10-08,1.52,-0.73
2008-10-09,1.13,-0.84
2008-10-10,-0.91,-1.05
2008-10-11,0.42,-1.47
2008-10-12,-0.31,-1.09
2008-10-13,1.35,-0.53
2008-10-14,0.91,-0.58
2008-10-15,1.57,-1.04
2008-10-16,1.49,-0.43
2008-10-17,2.08,-1.44
2008-10-18,1.07,-0.72
2008-10-19,0.96,-1.93
2008-10-20,1.21,-1.99
2008-10-21,0.50,-1.64
2008-10-22,1.65,-1.56
2008-10-23,1.80,-1.44
2008-10-24,1.80,-1.47
2008-10-25,2.42,-1.63
2008-10-26,2.12,-2.48
2008-10-27,2.41,-1.64
2008-10-28,1.91,-1.35
2008-10-29,1.57,-2.27
2008-10-30,2.57,-2.16
2008-10-31,0.81,-3.40
2008-11-01,7.05,0.73
2008-11-02,6.85,0.86
2008-11-03,2.39,-2.55
2008-11-04,3.36,-2.37
2008-11-05,1.23,-3.32
2008-11-06,2.24,-3.28
2008-11-07,3.86,-2.03
2008-11-08,2.98,-2.98
2008-11-09,4.33,-3.00
2008-11-10,3.48,-2.39
2008-11-11,3.91,-3.38
2008-11-12,3.62,-2.87
2008-11-13,3.57,-3.09
2008-11-14,3.43,-3.52
2008-11-15,3.36,-2.67
2008-11-16,4.17,-3.53
2008-11-17,2.56,-3.13
2008-11-18,3.89,-3.42
2008-11-19,3.49,-2.17
2008-11-20,3.54,-2.75
2008-11-21,3.00,-2.86
2008-11-22,3.98,-4.03
2008-11-23,4.21,-3.82
2008-11-24,4.20,-4.08
2008-11-25,3.71,-3.32
2008-11-26,2.84,-3.31
2008-11-27,3.63,-3.78
2008-11-28,4.64,-4.78
2008-11-29,3.50,-2.89
2008-11-30,4.76,-3.18
2008-12-01,4.29,-3.08
2008-12-02,3.40,-2.87
2008-12-03,3.63,-2.41
2008-12-04,4.09,-2.83
2008-12-05,5.19,-3.92
2008-12-06,5.50,-4.60
2008-12-07,2.85,-4.31
2008-12-08,4.48,-3.97
2008-12-09,4.38,-3.23
2008-12-10,5.63,-3.57
2008-12-11,5.07,-4.21
2008-12-12,4.17,-4.46
2008-12-13,4.06,-3.82
2008-12-14,4.09,-4.10
2008-12-15,8.66,-1.99
2008-12-16,4.23,-3.62
2008-12-17,4.11,-5.85
2008-12-18,6.18,-5.76
2008-12-19,4.30,-3.96
2008-12-20,5.01,-4.25
2008-12-21,5.29,-5.17
2008-12-22,4.64,-4.63
2008-12-23,5.64,-4.90
2008-12-24,6.13,-3.75
2008-12-25,6.70,-5.55
2008-12-26,6.45,-4.89
2008-12-27,5.87,-4.21
2008-12-28,5.70,-3.95
2008-12-29,4.73,-4.50
2008-12-30,5.24,-4.12
2008-12-31,5.01,-5.25
2009-01-01,6.45,-5.10
2009-01-02,6.13,-4.46
2009-01-03,4.83,-5.96
2009-01-04,5.07,-6.03
2009-01-05,4.97,-6.15
2009-01-06,5.37,-4.36
2009-01-07,5.32,-5.45
2009-01-08,6.02,-6.52
2009-01-09,5.20,-5.74
2009-01-10,5.75,-5.30
2009-01-11,5.23,-5.48
2009-01-12,5.60,-5.95
2009-01-13,5.27,-6.32
2009-01-14,4.76,-5.74
2009-01-15,5.64,-6.09
2009-01-16,5.44,-6.17
2009-01-17,5.69,-5.52
2009-01-18,6.12,-5.43
2009-01-19,5.52,-5.04
2009-01-20,5.06,-4.74
2009-01-21,5.30,-5.74
2009-01-22,8.74,-6.24
2009-01-23,4.66,-5.49
2009-01-24,4.99,-5.91
2009-01-25,7.42,-4.45
2009-01-26,5.78,-7.49
2009-01-27,6.73,-6.88
2009-01-28,6.28,-6.28
2009-01-29,6.87,-5.87
2009-01-30,7.53,-6.11
2009-01-31,7.61,-6.44
2009-02-01,5.85,-7.06
2009-02-02,6.72,-6.31
2009-02-03,7.00,-7.41
2009-02-04,6.29,-6.15
2009-02-05,4.94,-6.69
2009-02-06,7.85,-7.33
2009-02-07,6.62,-7.25
2009-02-08,7.17,-7.50
2009-02-09,7.43,-7.43
2009-02-10,7.71,-8.93
2009-02-11,7.12,-8.20
2009-02-12,6.27,-8.42
2009-02-13,7.60,-6.39
2009-02-14,6.03,-8.28
2009-02-15,8.59,-7.69
2009-02-16,7.97,-6.65
2009-02-17,9.58,-7.00
2009-02-18,6.93,-7.68
2009-02-19,7.70,-8.14
2009-02-20,7.61,-8.74
2009-02-21,7.97,-8.32
2009-02-22,7.67,-8.41
2009-02-23,8.21,-8.07
2009-02-24,6.74,-9.12
2009-02-25,6.25,-8.12
2009-02-26,8.10,-9.44
2009-02-27,7.88,-7.72
2009-02-28,8.07,-8.64
2009-03-01,8.51,-7.79
2009-03-02,9.02,-9.25
2009-03-03,9.56,-6.68
2009-03-04,8.80,-9.64
2009-03-05,8.60,-9.20
2009-03-06,8.04,-9.40
2009-03-07,8.68,-9.40
2009-03-08,8.75,-8.84
2009-03-09,7.89,-9.16
2009-03-10,9.11,-9.45
2009-03-11,9.26,-9.64
2009-03-12,7.75,-9.86
2009-03-13,8.72,-10.32
