Date,North (mm),East (mm)
2005-09-11,0.00,0.00
2005-09-12,0.20,0.53
2005-09-13,1.48,-0.40
2005-09-14,2.00,-0.74
2005-09-15,1.52,0.57
2005-09-16,0.20,0.68
2005-09-17,0.24,0.02
2005-09-18,1.81,-2.00
2005-09-19,3.54,-1.29
2005-09-20,7.17,-1.89
2005-09-21,2.14,-0.08
2005-09-22,1.63,-1.24
2005-09-23,2.01,-1.30
2005-09-24,0.91,-1.23
2005-09-25,2.55,-0.66
2005-09-26,1.64,-0.07
2005-09-27,2.80,0.92
2005-09-28,3.51,-2.17
2005-09-29,2.48,-2.29
2005-09-30,2.75,-1.97
2005-10-01,3.34,-0.99
2005-10-02,2.37,-1.83
2005-10-03,1.42,-2.97
2005-10-04,0.57,-2.17
2005-10-05,2.16,-3.49
2005-10-06,2.49,-2.33
2005-10-07,2.64,-1.96
2005-10-08,2.58,-1.35
2005-10-09,2.48,-1.51
2005-10-10,3.43,-3.12
2005-10-11,1.83,-2.71
2005-10-12,2.86,-2.13
2005-10-13,3.46,-1.69
2005-10-14,3.72,-2.39
2005-10-15,4.01,-1.95
2005-10-16,2.29,-4.22
2005-10-17,3.51,-3.79
2005-10-18,4.90,-3.75
2005-10-19,2.19,-2.20
2005-10-20,1.91,-2.87
2005-10-21,2.99,-3.70
2005-10-22,3.23,-3.43
2005-10-23,3.48,-3.42
2005-10-24,4.02,-1.59
2005-10-25,3.54,-3.06
2005-10-26,4.14,-2.37
2005-10-27,2.26,-1.80
2005-10-28,3.79,-3.98
2005-10-29,2.19,-3.57
2005-10-30,2.24,-3.64
2005-10-31,4.03,-2.30
2005-11-01,4.69,-3.04
2005-11-02,4.13,-2.75
2005-11-03,4.03,-4.43
2005-11-04,2.10,-2.16
2005-11-05,3.49,-2.53
2005-11-06,3.83,-3.06
2005-11-07,3.75,-2.92
2005-11-08,3.15,-1.61
2005-11-09,6.51,-5.55
2005-11-10,5.60,-2.68
2005-11-11,2.28,-2.15
2005-11-12,3.52,-2.07
