Date,North (mm),East (mm)
2005-07-08,0.00,0.00
2005-07-09,-1.14,-1.12
2005-07-10,-4.34,1.90
2005-11-30,6.74,-4.37
2005-12-01,4.79,-3.64
2005-12-02,7.58,-1.92
2005-12-03,6.16,-3.91
2005-12-04,5.77,-3.56
2005-12-05,6.31,-3.21
2005-12-06,6.37,-4.75
2005-12-07,5.61,-3.76
2005-12-08,6.51,-4.55
2005-12-09,6.33,-3.82
2005-12-10,6.38,-4.40
2005-12-11,6.65,-5.38
2005-12-12,6.39,-5.27
2005-12-13,5.90,-4.40
2005-12-14,6.45,-4.38
2005-12-15,6.68,-4.10
2005-12-16,6.28,-5.26
2005-12-17,5.48,-5.14
2005-12-18,10.32,-2.68
2005-12-19,6.44,-6.04
2005-12-20,7.63,-3.78
2005-12-21,6.95,-4.58
2005-12-22,7.18,-6.01
2005-12-23,7.66,-5.80
2005-12-24,6.37,-5.55
2005-12-25,5.28,-3.66
2005-12-26,9.48,-4.46
2005-12-27,7.34,-5.58
2005-12-28,7.51,-4.44
2005-12-29,5.48,-4.47
2005-12-30,7.43,-5.99
2005-12-31,8.59,-6.17
2006-01-01,6.91,-4.37
2006-01-02,6.50,-6.30
2006-01-03,8.08,-5.58
2006-01-04,8.04,-5.52
2006-01-05,8.77,-4.68
2006-01-06,8.65,-5.99
2006-01-07,10.79,-5.43
2006-01-08,7.48,-4.98
2006-01-09,8.55,-5.11
2006-01-10,8.04,-4.35
2006-01-11,8.87,-4.16
2006-01-12,8.63,-4.92
2006-01-13,7.98,-4.37
2006-01-14,11.01,-3.49
2006-01-15,8.75,-6.43
2006-01-16,9.59,-5.55
2006-01-17,8.31,-6.02
2006-01-18,9.96,-3.93
2006-01-19,8.91,-5.51
2006-01-20,8.48,-5.77
2006-01-21,9.04,-5.99
2006-01-22,8.50,-5.43
2006-01-23,8.82,-5.66
2006-01-24,9.57,-4.87
2006-01-25,8.59,-5.78
2006-01-26,8.78,-5.61
2006-01-27,9.05,-6.22
2006-01-28,10.97,-6.47
2006-01-29,9.09,-6.21
2006-01-30,8.71,-6.52
2006-01-31,9.19,-5.87
2006-02-01,9.00,-6.57
2006-02-02,10.10,-6.52
2006-02-03,9.16,-6.56
2006-02-04,8.73,-6.95
2006-02-05,9.50,-7.04
2006-02-06,8.95,-7.01
2006-02-07,9.50,-6.87
2006-02-08,9.85,-6.49
2006-02-09,9.34,-6.72
2006-02-10,9.18,-7.16
2006-02-11,8.46,-6.37
2006-02-12,8.93,-6.72
2006-02-13,10.77,-6.41
2006-02-14,9.22,-6.61
2006-02-15,9.43,-5.83
2006-02-16,9.67,-6.93
2006-02-17,11.00,-6.47
2006-02-18,9.98,-7.18
2006-02-19,10.51,-6.99
2006-02-20,10.09,-6.84
2006-02-21,10.19,-6.91
2006-02-22,10.44,-6.74
2006-02-23,10.60,-6.57
2006-02-24,10.36,-7.00
2006-02-25,9.89,-5.69
2006-02-26,10.47,-6.24
2006-02-27,12.81,-5.41
2006-02-28,7.19,-4.99
2006-03-01,10.15,-7.12
2006-03-02,11.02,-6.99
2006-03-03,10.25,-5.64
2006-03-04,10.34,-6.74
2006-03-05,9.56,-7.09
2006-03-06,10.92,-6.30
2006-03-07,10.18,-8.10
2006-03-08,9.71,-6.69
2006-03-09,10.20,-7.11
2006-03-10,9.41,-5.13
2006-03-11,10.63,-6.95
2006-03-12,10.60,-8.44
2006-03-13,10.10,-6.33
2006-03-14,10.65,-6.45
2006-03-15,10.96,-6.49
2006-03-16,11.08,-8.18
2006-03-17,11.30,-7.72
2006-03-18,10.67,-7.37
2006-03-19,9.09,-8.66
2006-03-20,11.28,-7.07
2006-03-21,11.82,-8.06
2006-03-22,11.75,-8.64
2006-03-23,16.66,-6.88
2006-03-24,9.50,-8.63
2006-03-25,12.30,-8.76
2006-03-26,10.18,-7.10
2006-03-27,12.02,-8.16
2006-03-28,11.90,-6.65
2006-03-29,11.60,-8.13
2006-03-30,10.91,-7.99
2006-03-31,11.52,-10.21
2006-04-01,13.53,-8.36
2006-04-02,12.28,-8.29
2006-04-03,12.64,-6.08
