Date, North (mm), East (mm)
2007-09-21,0.00,0.00
2007-09-22,0.06,-0.82
2007-09-23,0.12,-0.45
2007-09-24,0.62,0.62
2007-09-25,-1.15,-0.91
2007-09-26,-0.40,-1.24
2007-09-27,-1.34,-0.62
2007-09-28,-4.33,-0.86
2007-09-29,-1.51,-1.46
2007-09-30,-1.03,-1.08
2007-10-01,1.22,0.89
2007-10-02,-0.33,0.28
2007-10-03,1.19,0.58
2007-10-04,-0.48,0.81
2007-10-05,-0.24,-1.66
2007-10-06,-0.33,0.51
2007-10-07,0.41,-0.43
2007-10-08,-0.60,0.06
2007-10-09,-0.81,-1.34
2007-10-10,-3.36,-1.85
2007-10-11,0.37,-1.42
2007-10-12,-0.40,-1.05
2007-10-13,-0.33,-0.55
2007-10-14,0.30,-1.08
2007-10-15,-0.36,0.81
2007-10-16,-2.37,0.44
2007-10-17,-2.67,-1.59
2007-10-18,-0.21,-0.87
2007-10-19,-0.75,2.58
2007-10-20,-1.83,-2.18
2007-10-21,0.58,0.27
2007-10-22,0.39,-0.27
2007-10-23,0.15,-1.06
2007-10-24,0.24,-0.17
2007-10-25,0.27,0.13
2007-10-26,-0.34,-1.69
2007-10-27,-0.61,-1.01
2007-10-28,-0.30,-0.54
2007-10-29,-1.56,-0.57
2007-10-30,0.35,-0.30
2007-10-31,0.38,-1.37
2007-11-01,-0.51,-0.28
2007-11-02,-0.40,-1.10
2007-11-03,0.35,-1.39
2007-11-04,0.21,-0.43
2007-11-05,-0.38,-0.68
2007-11-06,0.47,-1.89
2007-11-07,0.31,-1.43
2007-11-08,-0.97,-0.07
2007-11-09,-0.18,-1.62
2007-11-10,2.01,-1.26
2007-11-11,1.48,-1.80
2007-11-12,1.11,-1.07
2007-11-13,0.95,-2.35
2007-11-14,0.95,-1.74
2007-11-15,1.65,-1.41
2007-11-16,2.28,-0.97
2007-11-17,1.00,-2.65
2007-11-18,-0.65,-0.97
2007-11-19,3.19,-1.29
2007-11-20,0.80,-2.27
2007-11-21,1.48,-1.61
2007-11-22,1.41,-2.67
2007-11-23,2.98,-3.09
2007-11-24,1.12,-2.39
2007-11-25,1.97,-2.33
2007-11-26,1.59,-3.23
2007-11-27,2.32,-3.44
2007-11-28,2.77,-3.27
2007-11-29,1.84,-3.67
2007-11-30,1.52,-3.53
2007-12-01,1.48,-3.36
2007-12-02,0.86,-1.43
2007-12-03,0.93,-2.42
2007-12-04,2.00,-3.52
2007-12-05,0.90,-2.43
2007-12-06,3.13,-3.69
2007-12-07,1.58,-2.53
2007-12-08,1.85,-2.56
2007-12-09,2.05,-2.46
2007-12-10,2.94,-2.96
2007-12-11,2.63,-3.13
2007-12-12,3.47,-4.41
2007-12-13,2.25,-1.92
2007-12-14,2.13,-2.74
2007-12-15,3.12,-1.75
2007-12-16,3.23,-3.19
2007-12-17,0.51,-3.18
2007-12-18,3.10,-4.39
2007-12-19,2.18,-2.83
2007-12-20,3.48,-3.13
2007-12-21,3.03,-3.55
2007-12-22,2.78,-3.30
2007-12-23,2.04,-2.18
2007-12-24,4.50,-2.67
2007-12-25,3.33,-2.07
2007-12-26,2.76,-2.11
2007-12-27,3.14,-2.63
2007-12-28,3.76,-2.52
2007-12-29,4.23,-2.71
2007-12-30,3.89,-2.78
2007-12-31,4.41,-2.59
2008-01-01,3.24,-2.64
2008-01-02,4.28,-2.84
2008-01-03,4.71,-3.43
2008-01-04,0.97,-2.73
2008-01-05,1.99,-2.99
2008-01-06,1.33,-4.77
2008-01-07,2.47,-3.09
2008-01-08,4.58,-2.36
2008-01-09,2.81,-2.44
2008-01-10,3.21,-3.31
2008-01-11,5.25,-1.94
2008-01-12,3.35,-1.63
2008-01-13,3.45,-2.46
2008-01-14,4.55,-3.09
2008-01-15,3.87,-2.82
2008-01-16,2.91,-2.71
2008-01-17,3.36,-2.51
2008-01-18,3.47,-2.07
2008-01-19,3.58,-2.54
2008-01-20,2.36,-0.54
2008-01-21,2.88,-1.80
2008-01-22,2.11,-3.33
2008-01-23,3.58,-3.16
2008-01-24,2.79,-3.47
2008-01-25,2.10,-3.78
2008-01-26,-0.96,-0.65
2008-01-27,1.32,-1.29
2008-01-28,3.09,-4.53
2008-01-29,2.52,-2.66
2008-01-30,4.51,-0.88
2008-01-31,4.13,-2.86
2008-02-01,2.42,-1.46
2008-02-02,2.75,-1.28
2008-02-03,4.73,-2.07
2008-02-04,5.11,-3.13
2008-02-05,5.39,-1.95
2008-02-06,4.45,-1.44
2008-02-07,4.60,-3.15
2008-02-08,4.23,-2.20
2008-02-09,3.80,-2.27
2008-02-10,3.96,-1.96
2008-02-11,3.53,-2.03
2008-02-12,5.30,-1.79
2008-02-13,2.28,-2.73
2008-02-14,4.41,-3.77
2008-02-15,4.97,-3.36
