Date, North (mm), East (mm)
2006-06-21,0.00,0.00
2006-06-22,0.31,-0.99
2006-06-23,1.52,-1.55
2006-06-24,1.52,-1.30
2006-06-25,2.47,-3.06
2006-06-26,0.67,-2.13
2006-06-27,0.77,-1.74
2006-06-28,3.21,-3.91
2006-06-29,0.72,-2.01
2006-06-30,3.63,-1.72
2006-07-01,2.27,-1.56
2006-07-02,0.66,-1.82
2006-07-03,1.74,-1.38
2006-07-04,3.48,-0.89
2006-07-05,3.31,-1.74
2006-07-06,3.97,-1.26
2006-07-07,1.84,-1.45
2006-07-08,2.75,-2.70
2006-07-09,4.03,-3.19
2006-07-10,2.64,-2.33
2006-07-11,1.91,-1.34
2006-07-12,3.72,-1.73
2006-07-13,0.75,-1.58
2006-07-14,3.93,-1.82
2006-07-15,2.47,-1.53
2006-07-16,3.00,-4.02
2006-07-17,3.22,-1.76
2006-07-18,2.11,-2.01
2006-07-19,3.37,-3.24
2006-07-20,4.41,-0.99
2006-07-21,3.82,-0.49
2006-07-22,4.09,-1.45
2006-07-23,4.23,-2.25
2006-07-24,3.45,-2.13
2006-07-25,5.06,-3.25
2006-07-26,4.65,-3.37
2006-07-27,2.05,-2.99
2006-07-28,4.04,-2.73
2006-07-29,5.53,-2.40
2006-07-30,6.46,-3.24
2006-07-31,3.11,-2.06
2006-08-01,3.16,-3.28
2006-08-02,3.68,-2.38
2006-08-03,3.26,-2.63
2006-08-04,3.22,-3.19
2006-08-05,5.04,-3.16
2006-08-06,3.42,-2.91
2006-08-07,4.49,-3.45
2006-08-08,5.03,-3.54
2006-08-09,2.93,-3.04
2006-08-10,4.55,-2.79
2006-08-11,3.10,-2.58
2006-08-12,3.38,-3.69
2006-08-13,4.90,-4.30
2006-08-14,4.16,-3.96
2006-08-15,5.01,-3.00
2006-08-16,2.46,-2.76
2006-08-17,5.14,-2.70
2006-08-18,4.04,-3.12
2006-08-19,4.50,-3.28
2006-08-20,5.78,-3.22
2006-08-21,3.91,-4.29
2006-08-22,3.22,-4.09
2006-08-23,5.02,-5.37
2006-08-24,3.30,-3.19
2006-08-25,3.95,-2.74
2006-08-26,6.04,-2.67
2006-08-27,5.66,-3.76
2006-08-28,4.96,-2.53
2006-08-29,5.02,-2.55
2006-08-30,3.45,-2.30
2006-08-31,4.59,-2.68
2006-09-01,3.68,-4.35
2006-09-02,6.15,-4.97
2006-09-03,4.74,-3.13
2006-09-04,4.41,-4.74
2006-09-05,6.27,-2.17
2006-09-06,5.95,-3.05
2006-09-07,6.44,-4.09
2006-09-08,5.24,-4.32
2006-09-09,5.44,-4.48
2006-09-10,6.68,-3.50
2006-09-11,6.63,-3.38
2006-09-12,6.47,-4.52
2006-09-13,6.68,-3.50
2006-09-14,5.06,-5.48
2006-09-15,8.31,-6.00
2006-09-16,8.20,-3.35
2006-09-17,8.33,-4.50
2006-09-18,5.72,-4.49
2006-09-19,6.55,-5.78
2006-09-20,6.27,-6.09
2006-09-21,7.89,-4.22
2006-09-22,6.63,-5.04
2006-09-23,5.66,-4.38
2006-09-24,6.96,-5.03
2006-09-25,7.01,-4.12
2006-09-26,6.74,-4.95
2006-09-27,7.93,-6.03
2006-09-28,7.42,-4.64
2006-09-29,7.06,-5.72
2006-09-30,7.28,-5.32
2006-10-01,8.68,-4.74
2006-10-02,8.26,-5.24
2006-10-03,6.69,-6.19
2006-10-04,6.19,-7.79
2006-10-05,6.52,-4.24
2006-10-06,8.41,-5.68
2006-10-07,7.35,-6.29
2006-10-08,8.49,-7.15
2006-10-09,8.47,-7.58
2006-10-10,7.10,-6.58
2006-10-11,7.08,-6.69
2006-10-12,7.56,-7.20
2006-10-13,6.83,-6.78
2006-10-14,6.50,-5.07
2006-10-15,7.21,-6.89
2006-10-16,8.37,-6.94
2006-10-17,7.46,-6.13
2006-10-18,6.24,-7.01
2006-10-19,8.18,-7.32
2006-10-20,7.86,-6.16
2006-10-21,7.25,-7.01
2006-10-22,7.23,-8.09
2006-10-23,8.17,-7.05
2006-10-24,8.01,-7.40
2006-10-25,7.93,-7.73
2006-10-26,8.82,-7.04
2006-10-27,7.11,-6.87
2006-10-28,8.20,-7.36
2006-10-29,7.19,-7.63
2006-10-30,7.35,-7.28
2006-10-31,4.93,-7.57
2006-11-01,5.88,-7.27
2006-11-02,8.14,-7.87
2006-11-03,5.51,-7.99
2006-11-04,8.07,-8.09
2006-11-05,8.57,-6.90
2006-11-06,8.29,-7.14
2006-11-07,8.79,-6.30
2006-11-08,9.46,-7.36
2006-11-09,8.00,-6.41
2006-11-10,7.96,-7.36
2006-11-11,10.32,-4.99
2006-11-12,8.88,-7.56
2006-11-13,9.70,-6.52
2006-11-14,8.45,-9.04
2006-11-15,8.73,-8.29
2006-11-16,9.30,-7.29
2006-11-17,7.17,-8.31
2006-11-18,8.16,-6.75
2006-11-19,8.88,-8.68
2006-11-20,8.58,-7.48
2006-11-21,10.78,-6.14
2006-11-22,9.09,-8.25
2006-11-23,10.06,-7.70
2006-11-24,8.95,-8.60
2006-11-25,8.90,-8.91
2006-11-26,9.76,-8.38
2006-11-27,10.05,-7.76
2006-11-28,8.46,-8.48
2006-11-29,9.80,-7.71
2006-11-30,10.35,-8.63
2006-12-01,10.58,-8.09
2006-12-02,9.22,-9.57
2006-12-03,9.12,-8.72
2006-12-04,11.06,-8.55
2006-12-05,8.76,-9.81
2006-12-06,10.68,-8.56
2006-12-07,10.31,-9.14
2006-12-08,9.79,-7.94
2006-12-09,7.46,-10.40
2006-12-10,4.31,-14.75
2006-12-11,11.07,-10.86
2006-12-12,9.76,-8.66
2006-12-13,11.70,-10.09
2006-12-14,11.14,-8.91
2006-12-15,10.21,-9.15
2006-12-16,8.59,-10.30
2006-12-17,11.57,-9.41
2006-12-18,12.82,-10.38
2006-12-19,11.57,-8.23
2006-12-20,11.94,-8.77
2006-12-21,9.57,-9.40
2006-12-22,11.71,-9.88
2006-12-23,11.43,-10.41
2006-12-24,13.33,-8.01
2006-12-25,10.48,-9.68
2006-12-26,11.56,-9.63
2006-12-27,9.06,-13.00
2006-12-28,12.74,-8.91
2006-12-29,12.47,-10.12
2006-12-30,13.43,-9.16
2006-12-31,12.60,-8.74
2007-01-01,12.45,-10.16
2007-01-02,11.37,-7.95
2007-01-03,13.11,-9.37
2007-01-04,8.72,-12.59
2007-01-05,12.61,-12.05
2007-01-06,11.79,-9.86
2007-01-07,13.63,-9.02
2007-01-08,12.64,-10.04
2007-01-09,11.53,-10.29
2007-01-10,11.16,-9.90
2007-01-11,12.62,-9.86
2007-01-12,11.94,-10.45
2007-01-13,12.08,-11.28
2007-01-14,13.77,-10.22
2007-01-15,13.17,-9.93
2007-01-16,12.64,-9.99
2007-01-17,13.07,-11.95
2007-01-18,12.90,-11.34
2007-01-19,13.42,-10.42
2007-01-20,13.00,-9.90
2007-01-21,13.19,-10.32
2007-01-22,13.27,-9.77
2007-01-23,13.06,-10.05
2007-01-24,14.50,-10.21
2007-01-25,14.91,-10.31
2007-01-26,12.94,-10.90
2007-01-27,12.06,-9.41
2007-01-28,12.19,-10.47
2007-01-29,12.20,-10.52
2007-01-30,13.70,-11.04
2007-01-31,12.75,-10.39
2007-02-01,11.82,-9.15
2007-02-02,11.95,-10.16
2007-02-03,14.17,-11.22
2007-02-04,13.91,-10.38
2007-02-05,12.16,-10.48
2007-02-06,13.50,-10.72
2007-02-07,15.19,-8.44
2007-02-08,12.81,-11.32
2007-02-09,14.80,-10.54
2007-02-10,8.40,-12.59
2007-02-11,10.02,-17.41
2007-02-12,13.19,-10.55
2007-02-13,14.46,-11.66
2007-02-14,14.14,-10.16
2007-02-15,15.27,-10.19
2007-02-16,14.82,-10.30
2007-02-17,12.47,-10.96
2007-02-18,14.73,-10.40
2007-02-19,14.32,-11.27
2007-02-20,14.23,-10.85
2007-02-21,15.69,-9.88
2007-02-22,7.09,-16.60
2007-02-23,12.87,-11.47
2007-02-24,14.28,-11.37
2007-02-25,17.46,-8.96
2007-02-26,15.16,-12.23
2007-02-27,7.18,-16.21
2007-02-28,10.15,-12.71
2007-03-01,14.90,-9.89
2007-03-02,16.58,-11.11
2007-03-03,16.11,-11.16
2007-03-04,14.17,-10.84
2007-03-05,14.70,-12.52
2007-03-06,16.03,-11.95
2007-03-07,16.29,-12.08
2007-03-08,14.92,-11.98
2007-03-09,14.84,-12.30
2007-03-10,13.81,-11.54
2007-03-11,15.98,-12.38
